DateTime,Status,Company,Recommendation,Target
2007-06-14,Upgrade,HSBC Securities,Neutral → Overweight,
2008-04-25,Downgrade,Bear Stearns,Outperform → Peer Perform,
2009-03-03,Upgrade,UBS,Neutral → Buy,
2015-04-22,Downgrade,Goldman,Neutral → Sell,
2015-07-13,Upgrade,Sterne Agee CRT,Underperform → Neutral,
2015-10-13,Downgrade,Credit Suisse,Neutral → Underperform,
2016-03-14,Upgrade,BofA/Merrill,Neutral → Buy,
2016-04-08,Downgrade,Citigroup,Neutral → Sell,
2016-04-27,Downgrade,Barclays,Overweight → Equal Weight,
2016-09-21,Resumed,Goldman,Neutral,
2016-11-30,Resumed,Citigroup,Buy,
2017-09-11,Upgrade,Goldman,Neutral → Buy,
,Reiterated,HSBC Securities,Neutral,$50 → $46
