DateTime,News
2009-11-12 07:15:00,Latin American Markets: Brazil stocks drop; Chile rate decision on tap
2009-11-23 04:55:00,Broad-Based Retailer Sees Only Minor Slump In Brazilian Economy
2009-11-30 10:24:00,Top 25 Brazilian Sales: A Global List
2009-12-04 06:54:00,UPDATE - Brazil\'s Pao de Acucar to buy Casas Bahia -report
2009-12-04 07:06:00,Pao de Acucar to buy 51 pct of Casas Bahia -source
2009-12-04 07:20:00,UPDATE - Pao de Acucar to buy 51 pct of Casas Bahia -source
2009-12-04 07:40:00,Pao de Acucar says to buy control of Casas Bahia
2009-12-04 08:12:00,"UPDATE - Brazil Pao de Acucar buys rival, eyes retail boom"
2009-12-04 08:40:00,Brazil Pao de Acucar eyes nonfood growth with deal
2009-12-04 09:30:00,Brazil to rule on Pao de Acucar deal in mid-2010
2009-12-14 03:01:00,UPDATE - Pao de Acucar names Pestana as COO in succession plan
2009-12-14 11:05:00,Brazil\'s Pao de Acucar names Pestana as COO
2009-12-15 05:38:00,Latin American Markets: Brazil utility stocks contribute to session slip
2009-12-21 03:52:00,It\'s an Emerging World: BRIC Stocks Dominate IBD 100
2009-12-22 01:46:00,The Hidden Emerging-Market Megatrend
2009-12-29 03:34:00,Emerging Markets Report: Latin American bull market may be tamed in 2010
2009-12-29 12:54:00,Emerging Markets Report: Latin American stocks to see milder gains in 2010
2009-12-31 02:28:00,[video] Betting on Brazilian Consumer
2010-01-04 07:19:00,"Russia, Brazil And Turkey Lead World"
2010-01-11 06:59:00,Five Foreign Supermarket Chains: An Overview
2010-01-14 04:55:00,Zacks #1 Rank Additions for Thursday
2010-01-14 06:20:00,Brazil\'s CBD says Q4 sales jump 44.6 pct on year
2010-01-14 07:14:00,UPDATE - Brazilian retailer CBD\'s Q4 sales jump 45 pct
2010-01-20 06:37:00,Brazil\'s Pao de Acucar to spend $2.8 bln to 2012
2010-01-26 01:00:00,Companhia Brasileira de Distribuicao (CBD): Zacks Rank Buy
2010-01-26 11:56:00,"Zacks Releases Four Powerful \'\'Buy\'\' Stocks: Companhia Brasileira de Distribuicao, Xilinx Inc., GeoReseources, Inc. and OM Group, Inc."
2010-01-29 11:00:00,[$$] Flying Down to Rio
2010-03-02 02:23:00,"UPDATE - Pao de Acucar Q4 net beats estimates, shares rise"
2010-03-02 08:59:00,Brazil\'s Pao de Acucar Q4 net beats forecasts
2010-03-02 09:52:00,UPDATE - Pao de Acucar Q4 net beats estimates; shares rise
2010-03-02 11:03:00,[$$] Brazil vs. Rest of the World
2010-03-02 11:24:00,"Brazil\'s Pao de Acucar sales ""performing well""-COO"
2010-03-03 02:49:00,[video] Trading the Globe
2010-03-04 05:21:00,"Christmas Comes Very, Very Early For Retailers"
2010-03-04 08:07:00,\'Fast Money\' Recap: Bottom Picking
