DateTime,Status,Company,Recommendation,Target
2008-12-15,Initiated,Standpoint,Buy,$25
2009-05-12,Upgrade,JP Morgan,Neutral → Overweight,
2009-12-03,Downgrade,Standpoint Research,Buy → Hold,
2009-12-11,Downgrade,JP Morgan,Overweight → Neutral,
2011-09-06,Upgrade,Standpoint Research,Hold → Buy,$21
2012-10-03,Downgrade,Barclays,Overweight → Equal Weight,
2012-11-30,Upgrade,Standpoint Research,Hold → Buy,
2015-06-26,Upgrade,JP Morgan,Underweight → Neutral,
2015-12-17,Downgrade,Goldman,Buy → Neutral,
2017-06-22,Upgrade,Morgan Stanley,Underweight → Overweight,
2017-07-14,Upgrade,Goldman,Sell → Neutral,
2018-10-18,Downgrade,UBS,Buy → Neutral,
2019-01-03,Downgrade,Goldman,Neutral → Sell,
2019-01-16,Downgrade,Citigroup,Neutral → Sell,
2019-11-14,Initiated,Goldman,Buy,
