DateTime,News
2007-11-07 08:00:00,CPFL Energia S.A. Announces Third Quarter 2007 Results Conference Call Webcast
2007-11-12 09:17:00,CPFL Announces 3rd Quarter Earnings
2007-11-13 05:50:00,CPFL Energia Announces Net Income of R$ 428 Million in 3Q07
2007-11-14 07:07:00,Q3 2007 CPFL Energia Earnings Release - Time Not Supplied
2007-11-23 12:16:00,Stocks That Pay You to Retire
2008-01-14 04:06:00,ADRs in Focus: Latin America
2008-01-16 06:59:00,Top Dividend Plays Under $10
2008-03-04 09:52:00,Monday\'s Biggest Stock Stars
2008-03-10 02:45:00,Nice Price for CPFL Energia
2008-03-12 06:11:00,Hot Returns South of the Border
2008-04-03 01:32:00,South America\'s Best Stocks
2008-04-03 07:09:00,CPL: Cramer\'s Power Trip
2008-04-04 06:27:00,[video] Top Ten Most Searched Stocks on TheStreet.com
2008-04-04 06:28:00,"Jim Cramer\'s Mad Money In-Depth, 4/3/08: King of Beers Dethroned"
2008-04-04 06:42:00,[video] Cramer: Dividend & Conquer
2008-04-04 07:48:00,Cramer\'s \'Mad Money\' Recap: The Hideous $6 Billion Tax Rebate
2008-04-04 08:11:00,Five High-Yielding Stocks to Own
2008-04-07 08:02:00,"Jim Cramer\'s Mad Money, 4/4/08: Cramer Vindicated"
2008-04-09 07:44:00,Cramer\'s \'Mad Money\' Recap: Russia\'s TV Bonanza
2008-04-10 06:48:00,"Jim Cramer\'s Mad Money In-Depth, 4/9/09: Merck: Darling of the Dow"
2008-04-16 03:54:00,A 5-Star Foreign Pink Sheet
2008-04-23 12:17:00,5 All-Star Stocks
2008-04-24 07:05:00,"Lightning Round: Under Armour, Salesforce, Honeywell and More"
2008-04-24 07:20:00,Lightning Round
2008-04-24 07:22:00,\'Mad Money Lightning Round\': Say Nay to NetSuite
2008-04-25 06:30:00,Sweet as Honeywell - Cramer\'s Lightning Round (4/24/08)
2008-04-28 06:51:00,Mad Mail: Time to Sell Costco?
2008-05-06 12:16:00,CPFL Energia S.A. Announces First Quarter 2008 Results Conference Call Webcast
2008-05-13 07:08:00,Q1 2008 CPFL Energia Earnings Release - Time Not Supplied
2008-05-15 06:26:00,Growth From Utilities Stocks?
2008-05-15 07:49:00,Cramer\'s \'Mad Money Recap\': Hot Chilean Stocks
2008-05-19 06:25:00,10 Highest Yielding Semi-Annual Dividend Payers
2008-05-21 10:09:00,"[$$] Parabolas Are Scary, but They Can Endure"
2008-05-23 05:59:00,"Parabolas Are Scary, but They Can Endure"
2008-05-27 09:37:00,BRIC Begins with Brazil
2008-05-27 10:03:00,Brazil Favored Emerging Market Among Hedge Funds; Petrobras the Top Brazilian Stock
2008-05-28 03:01:00,ADR Report: Brazilian stocks keep index from suffering heavier decline
2008-06-17 09:15:00,Value in Brazilian Stocks
2008-06-18 09:04:00,CPFL ENERGY INC Financials
2008-06-23 09:33:00,CPFL Energia a Strong Brazil Play
2008-06-24 09:31:00,7 Stocks for a High Yield Cash Flow Portfolio
2008-06-26 02:26:00,ADRs in Focus: Brazil index dips on inflation woes
2008-07-02 07:36:00,\'Mad Money\' Lightning Round: Tough Times for Goodrich
2008-07-09 07:11:00,The Stockpickers: Fund manager banks on Brazilian infrastructure plays
2008-07-11 11:32:00,Does a Declining Dollar Spell Doom?
2008-07-15 02:15:00,These 5 Underdogs Are No Dogs
2008-07-21 09:14:00,CPFL Energia downgraded by HSBC Securities
2008-07-23 11:22:00,5 Stocks That Swayed the Skeptics
2008-08-06 09:00:00,CPFL Energia S.A. Announces Second Quarter 2008 Results Conference Call Webcast
2008-08-07 08:46:00,World Markets Olympic Challenge: Playing Brazil
2008-08-12 05:52:00,Latin American Markets: Brazilian shares lose grip on gains; Mexican stocks fall
2008-08-12 07:07:00,Q2 2008 CPFL Energia Earnings Release - After Market Close
2008-08-25 09:35:00,CPFL Energia Downgraded to Hold
2008-08-27 09:22:00,"As Analysts Look for a Rebound, Petrobras is the Pro\'s Favorite in Brazil"
2008-08-28 02:48:00,ETF Teardown: Top Emerging-Market Stocks
2008-09-03 06:36:00,Mad Mail: Throw Merck Out With Schering?
2008-09-03 07:41:00,Cramer\'s \'Mad Money\' Recap: Sept. 3
2008-09-08 09:56:00,Eight Latin American Utility Stocks
2008-09-18 03:05:00,3 Stocks Hitting Low Notes
2008-09-25 02:54:00,Stop Trading! Cramer on the Markets
2008-09-25 03:07:00,Cramer\'s \'Stop Trading!\': KB Could Catapult
2008-09-25 04:34:00,End of Monster Buybacks? - Cramer\'s Stop Trading! (9/25/08)
2008-10-21 05:05:00,Power Up With Brazilian Energy
2008-10-30 02:13:00,Today\'s 5-Star Movers
2008-10-30 10:00:00,CPFL Energia S.A. Announces Third Quarter 2008 Results Conference Call Webcast
2008-11-05 07:07:00,Q3 2008 CPFL Energia Earnings Release - After Market Close
2008-11-07 07:45:00,\'Mad Money Lightning Round\': Pull the Trigger on Windstream
2008-11-07 09:31:00,"Lightning Round: McDonald\'s, Citigroup, WindStream and More"
2008-11-08 06:10:00,Cramer\'s Lightning Round: Packaging Corp All Wrapped Up (11/7/08)
2008-11-20 01:51:00,Latin American Markets
2008-12-01 07:09:00,Utilities: Still an Integral Part of a Well Diversified Portfolio
2008-12-11 08:03:00,\'Mad Money Lightning Round\': Grab Some CPFL Energia
2008-12-11 08:16:00,Cramer\'s \'Mad Money\' Recap: Fixing a Broken Market
2008-12-11 09:28:00,Brazil Stocks Still Widely Held by Pros
2008-12-12 07:11:00,Cramer\'s Lightning Round - Ashland Has Arrived (12/11/08)
2008-12-18 01:33:00,6 Stocks to Electrify Your Portfolio
2008-12-22 11:11:00,Seven Ways to Invest in Brazil
2008-12-31 12:06:00,Foreign Utilities Outlook 2009
2009-01-07 01:12:00,5-Star Stocks Poised to Pop: CPFL Energia
2009-01-16 06:34:00,Zacks #1 Rank Additions for Friday
2009-01-30 09:07:00,Material Fact - Corporate Restructuring of VBC ENERGIA S.A.
2013-08-15 04:40:00,CPFL Energia S.A. Management Discusses Q2 2013 Results - Earnings Call Transcript
2013-08-16 11:52:00,"Friday Sector Laggards: Electric Utilities, Metals & Mining Stocks"
2013-08-19 12:29:00,"Ronald W. Pickett, the President, CEO and Chairman of Solar Wind Energy Tower, Inc. (SWET), Interviews with The Wall Street Transcript"
2013-08-20 01:40:00,CPFL Energia Down to Strong Sell
2013-08-21 01:07:00,Inergy 31% July/August Upside Topped Utilities Sector Dogs
2013-08-21 07:37:00,"The Zacks Analyst Blog Highlights: Amazon.com, Overstock.com, SanDisk, Silicom and CPFL Energia"
2013-11-12 08:00:00,Webcast Alert: CPFL Energia S.A. Announces Third Quarter 2013 Earnings Conference Call Webcast
2013-11-14 05:20:00,CPFL Energia S.A. Management Discusses Q3 2013 Results - Earnings Call Transcript
2013-11-20 05:30:00,CPFL Energia Slips to Strong Sell
2013-11-24 09:32:00,Why You Should Consider International Utilities
2013-12-04 03:56:00,CPL Shares Enter Oversold Territory
2013-12-17 12:02:00,3 Utilities Stocks On The Rise
2013-12-24 12:03:00,4 Stocks Underperforming Today In The Utilities Sector
2014-01-03 12:03:00,4 Utilities Stocks Pushing Sector Growth
2014-03-03 03:54:00,The Outlook For Brazil: Is It Time To Take Another Look At CPFL Energia?
2014-03-27 10:52:00,Webcast Alert: CPFL Energia S.A. Announces Fourth Quarter 2013 Earnings Conference Call Webcast
2014-03-28 05:41:00,Can The Uptrend Continue for CPFL Energia (CPL)?
2014-03-31 01:03:00,3 Utilities Stocks Dragging The Sector Down
2014-04-01 05:55:00,Balanced View on Edison International
2014-04-02 05:15:00,Ameren Corp. Unit Prices $350M Senior Notes
2014-04-04 02:56:00,CPFL Energia files 2013 20-F Form Annual Report with the SEC
2014-04-04 09:50:00,Updated Research Report on CEMIG
2014-04-22 03:20:00,"Calpine Corp. to Sell Power Units, Shares Up"
2014-04-22 04:00:00,Southern Company\'s 13th Successive Div Hike
2014-04-23 11:29:00,5 Ultra Utilities Dogs Produced 5% To 9% April Upsides
