DateTime,Status,Company,Recommendation,Target
2007-06-04,Downgrade,Bear Stearns,Outperform → Peer Perform,$54.34 → $59.09
2008-07-21,Downgrade,HSBC Securities,Overweight → Neutral,
2010-07-27,Downgrade,Barclays Capital,Equal Weight → Underweight,
2012-11-26,Upgrade,Barclays,Underweight → Equal Weight,
2015-04-10,Downgrade,UBS,Buy → Neutral,
2015-06-12,Downgrade,Goldman,Buy → Neutral,
2015-07-07,Upgrade,Citigroup,Neutral → Buy,
2016-12-19,Downgrade,Citigroup,Buy → Neutral,
2019-10-02,Initiated,JP Morgan,Overweight,
2019-11-14,Initiated,Goldman,Neutral,
,Downgrade,Bear Stearns,Outperform → Peer Perform,
