DateTime,News
2009-03-05 06:37:00,Latin American Markets: Equities fall as lack of China-stimulus plan disappoints
2009-03-09 01:14:00,Falling Industrials in Brazil
2009-03-18 12:54:00,Brazil Steel Falls Year-Over-Year
2009-03-25 06:22:00,ADR Report-Foreign stocks rise as data lifts sentiment
2009-03-27 04:27:00,Four Ways to Invest in Brazil\'s Growth
2009-04-01 10:07:00,"Brazil stocks drop on poor industrial report, oil"
2009-04-06 07:34:00,Latin American Markets: Steel stocks take hit after downgrades
2009-04-06 07:44:00,"Ternium, Gerdau cut to sell by Deutsche in steel note"
2009-04-06 10:12:00,"UPDATE - Deutsche Bank cuts Ternium, Gerdau ADRs to sell"
2009-04-08 03:53:00,China\'s Auto Sales - Kicking Into Gear?
2009-04-09 03:50:00,Latin American Markets: Brazil\'s benchmark up more than 3%; Chile eyes rate cut
2009-04-09 09:42:00,Latin American Markets: Brazil closes at six-month high
2009-04-16 07:16:00,Latin American Markets: Mexico up ahead of rate decision; Brazil at six-month high
2009-04-24 02:52:00,Latin American Markets: Mexico rallies; Brazilian stocks advance
2009-04-24 07:01:00,Latin American Markets: Brazil posts seventh-weekly win; Mexico rallies
2009-04-27 04:47:00,Latin American Markets
2009-04-30 07:17:00,"Latin American Markets: Brazil shares up after rate cut, but Mexico down"
2009-04-30 09:25:00,Thursday Pre-Market Rundown: Broadly Higher Open on Tap
2009-05-04 03:20:00,"Latin American Markets: Stocks soar on improved China, swine-flu views"
2009-05-04 05:46:00,"Latin American Markets: Stocks soar on improved view of China, swine flu"
2009-05-05 02:11:00,Cinco de Mayo Steel Report
2009-05-05 04:36:00,"Latin American Markets: Brazil, Mexican shares lead region higher"
2009-05-05 06:00:00,"Latin American Markets: Mexican, Brazilian shares lead region higher"
2009-05-06 03:48:00,Latin American Markets: Resource stocks push Brazil higher; Mexico gains
2009-05-06 09:12:00,"Latin American Markets: Brazil, Mexico hit best closing levels this year"
2009-05-07 03:57:00,Latin American Markets: Brazilian stock sell-off threatens win streak
2009-05-07 04:59:00,Latin American Markets: Brazilian stock sell-off marks end of win streak
2009-05-07 07:07:00,Q1 2009 Gerdau S.A. Earnings Release - Time Not Supplied
2009-05-07 08:07:00,Brazil Gerdau profit slumps in 1st quarter
2009-05-07 09:18:00,Gerdau S.A. First Quarter 2009 Results
2009-05-07 10:00:00,UPDATE - Brazil Gerdau posts 97 pct drop in 1st-qtr profit
2009-05-11 09:17:00,Factors That May Impede the Real\'s Continuing Rise
2009-05-13 05:26:00,"Transocean, Gerdau SA, Goldman Sachs, JPMorgan Chase and U.S. Bancorp"
2009-05-14 01:00:00,Gerdau S.A. (GGB)
2009-05-18 01:14:00,"Latin American Markets: Brazil higher as commodity, food stocks climb"
2009-05-21 05:43:00,"Latin American Markets: Region slumps along with commodities, Wall Street"
2009-05-27 03:05:00,"Latin American Markets: Brazil, Mexico markets touch 2009 highs"
2009-05-27 06:34:00,"Latin American Markets: Brazil, Mexico equities retreat from 2009 highs"
2009-05-28 03:37:00,Latin American Markets: Brazil gains on data; oil boosts region
2009-05-28 09:21:00,Latin American Markets: Brazil gains on good inflation data
2009-05-29 06:35:00,China\'s Double-Edged Sword
2009-05-29 07:36:00,Latin American stocks end week at 8-month highs
2009-06-01 05:03:00,"Latin American Markets: Stock in Brazil, Mexico rally as commodities surge"
2009-06-02 09:18:00,Market Vectors Brazil Small Cap - A New ETF for Exposure to Brazil
2009-06-03 05:38:00,Latin American Markets: Two Brazilian steel makers downgraded; Mexico down
2009-06-04 11:39:00,Foreign Funds Gain on U.S. Inflation Fears
2009-06-09 05:17:00,"Latin American Markets: Brazil currency up, stocks off after GDP report"
2009-06-10 02:27:00,Latin American Markets: Brazilian stocks lose steam as rate decision nears
2009-06-10 04:47:00,Latin American Markets: Brazilian stocks end higher ahead of rate decision
2009-06-12 11:53:00,Bank of America Day in the Markets
2009-06-14 03:32:00,Dollar Rallies on Lower than Expected European Industrial Production
2009-06-15 01:38:00,Gerdau S.A. upgraded by Deutsche Securities
2009-06-15 05:34:00,Latin American Markets: Stocks tumble as commodity prices sharply pullback
2009-06-17 02:57:00,Seven Foreign Steel Producers
2009-06-22 12:39:00,Gerdau Ameristeel amends covenants of $2.6B loan
2009-06-24 06:23:00,"Latin American Markets: Mexico up, Brazil down after Fed comments"
2009-06-25 09:40:00,"Latin American Markets: Brazil, Mexico climb as Wall Street revs higher"
2009-06-29 02:41:00,Latin American Markets: Brazil stocks climb; VisaNet shares begin trading
2009-06-29 06:03:00,Latin American Markets: Brazil stocks rise; VisaNet shares begin trading
2009-06-30 06:32:00,Gaming Emerging Markets w/ Tim Seymour
2009-07-02 01:01:00,Brazilian Manufacturers Slightly Relieved
2009-07-02 06:21:00,Latin American Markets: Stocks hurt after number of U.S. jobless soars
2009-07-02 06:36:00,Latin American Markets: CORRECT: Stocks hurt after U.S. jobless data
2009-07-06 08:57:00,"Latin American Markets: Brazil, Mexico down as commodity prices drop"
2009-07-06 09:08:00,Fidelity Auto Fund Almost Doubles in Quarter
2009-07-06 12:49:00,[$$] Steelmakers Regain Pricing Clout
2009-07-08 08:31:00,"RothmanResearch.com Stock Review for HTE, EAC, FLO, GGB, FAF and VALE"
2009-07-09 04:02:00,Brazilian Steel Industry Recovers
2009-07-20 03:56:00,"Latin American Markets: Brazil, Mexico pace gainers as earnings brighten"
2009-07-20 07:09:00,"WallStSense.com Fundamental & Technical Coverage of PTV, DNE, GGB, KG, AHT and EXC"
2009-07-21 03:59:00,Latin American Markets: Brazil\'s TAM slumps after downgrade; Mexico down
2009-07-21 07:42:00,"Latin American Markets: Mexico\'s win streak ends, Brazil\'s TAM downgraded"
2009-07-23 08:48:00,Another Cut in Brazil\'s Interest Rate
2009-07-25 09:04:00,GERDAU S.A. Financials
2009-07-28 03:56:00,"Latin American Markets: Mexico, Brazi benchmarks set to post losses"
2009-07-28 06:34:00,Latin American Markets: Brazil slips; Mexican benchmark dodges losses
2009-07-29 05:54:00,Latin American Markets: Brazil\'s benchmark falls as commodity prices drop
2009-07-29 07:00:00,China\'s Massive Stimulus and U.S. Steel Companies
2009-07-31 03:56:00,"PREVIEW-Brazil steel cos Gerdau, CSN Q2 profits to plunge"
2009-07-31 05:20:00,Latin American Markets: Brazil\'s Embraer jumps after upgrade; Mexico up
2009-08-06 03:57:00,Latin American Markets: Brazil\'s Gerdau swing to loss; Mexico lower
2009-08-06 07:07:00,Q2 2009 Gerdau S.A. Earnings Release - Time Not Supplied
2009-08-06 07:22:00,Latin American Markets: Brazilian stocks snap win streak as Gerdau falls
2009-08-06 08:41:00,Brazil Gerdau posts 1st half loss of 294 mln reais
2009-08-06 09:31:00,UPDATE - Gerdau posts loss in Q2 on write-downs
2009-08-06 10:25:00,Gerdau S.A. Announces Consolidated Results for the Second Quarter of 2009
2009-08-06 10:34:00,"Gerdau CEO is ""moderately optimistic"" on recovery"
2009-08-06 10:51:00,Weak Q2 for Brazil steelmakers shows depth of crisis
2009-08-06 11:33:00,UPDATE - Gerdau posts unexpected loss in Q2 on write-downs
2009-08-14 06:52:00,Latin American Markets: Mexico slumps as U.S. consumer data disappoints
2009-08-17 04:49:00,"Latin American Markets: Mexico, Brazil track sell-off in global equities"
2009-08-19 03:48:00,Latin American Markets: Brazil stocks take back earlier retreat
2009-08-20 09:03:00,"Latin American Markets: Brazilian unemployment falls, Mexico\'s GDP shrinks"
2009-08-21 09:11:00,Gerdau CEO sees slow steel market recovery-report
2010-03-08 05:11:00,Latin American Markets: Rate concerns cut into Brazilian stocks
2010-03-09 07:24:00,"Latin American Markets: Mining, home builders fuel stock gains in Brazil"
2010-03-11 08:22:00,Latin American Markets: Brazil stocks slip as China rate concerns crop up
2010-03-15 06:24:00,Latin American Markets: Rate worries hurt Brazil stocks; Chile stocks fall
2010-03-16 02:22:00,Latin American Markets: Resource stocks lift Brazil as Greece fears ease
2010-03-16 05:43:00,Latin American Markets: Brazil stocks higher as Fed holds line on rates
2010-03-18 07:45:00,Latin American Markets: Brazil index pulled lower as resource stocks slump
2010-03-18 10:36:00,Why Is America the Biggest Importer of Steel?
2010-03-23 05:17:00,Iron Ore: China Likely to Pay a Premium
2010-03-23 12:09:00,Latin American Markets: Vale shares higher on prospect of price climbs
2010-03-26 09:12:00,Gerdau Depends on Industrial Sector
2010-03-29 03:05:00,[$$] Brazil Firms Rebound but Lose Pricing Power
2010-03-29 07:05:00,Latin American Markets: Brazil stock index higher as Vale shares upgraded
2010-04-07 06:20:00,Foreign Steel Makers Reflect World Recovery
2010-04-19 04:14:00,Steelmaker Gerdau\'s quake-hit Chile ops back online
2010-04-20 06:20:00,"Latin American Markets: Mexico, Brazil stocks advance as Wall Street gains"
2010-04-20 12:50:00,"Advance/Decliner Index: Still Strong, But the Steel Market Is Clearly Top Heavy"
2010-04-22 02:29:00,"Latin American Markets: Brazil stocks, currency down as Greece weighs"
