DateTime,Status,Company,Recommendation,Target
2007-11-01,Upgrade,Citigroup,Hold → Buy,
2008-12-10,Downgrade,Credit Suisse,Outperform → Underperform,
2009-03-06,Downgrade,JP Morgan,Overweight → Neutral,
2009-04-06,Downgrade,Deutsche Securities,Hold → Sell,
2009-05-28,Downgrade,Citigroup,Buy → Hold,
2009-06-15,Upgrade,Deutsche Securities,Sell → Hold,$7.50 → $11
2009-10-07,Upgrade,Deutsche Securities,Hold → Buy,$20
2010-01-28,Downgrade,Deutsche Bank,Buy → Hold,$20 → $18
2015-04-16,Downgrade,BofA/Merrill,Buy → Neutral,
2015-08-10,Initiated,Goldman,Buy,$2.30
2016-08-04,Upgrade,Credit Suisse,Neutral → Outperform,
2016-08-18,Upgrade,Morgan Stanley,Equal-Weight → Overweight,
2017-09-01,Upgrade,JP Morgan,Neutral → Overweight,
2017-09-07,Downgrade,Credit Suisse,Outperform → Neutral,
2017-10-23,Resumed,Goldman,Buy,
2017-11-27,Upgrade,BofA/Merrill,Neutral → Buy,
2018-03-08,Downgrade,Morgan Stanley,Overweight → Equal-Weight,
2018-08-16,Resumed,BofA/Merrill,Buy,
2018-12-13,Initiated,Goldman,Buy,
,Upgrade,Barclays Capital,Underweight → Equal Weight,
,Downgrade,BofA/Merrill,Neutral → Underperform,
