DateTime,News
2013-05-28 11:30:00,"5 Sell-Rated Dividend Stocks: AMID, OIBR, EFC, EBR.B, TAC"
2013-06-05 05:16:00,The Great Telephone Operators of Brazil: Which Ones to Buy?
2013-06-06 11:30:00,"3 Sell-Rated Dividend Stocks: EFC, OIBR, TAC"
2013-06-07 11:36:00,Brazil: Is S&P\'s Negative Outlook Good News?
2013-06-10 12:22:00,A New Rising Star In The World Of Telecommunications
2013-06-10 12:39:00,Increasing Regulatory Burdens Depressing America Movil\'s Growth
2013-06-17 03:44:00,Investors Dump Cos Owned By Brazil Billionaire Batista
2013-06-17 11:30:00,"4 Sell-Rated Dividend Stocks: OIBR, EFC, EBR.B, TAC"
2013-06-20 04:57:00,Emerging Markets Evening Roundup: Colombia\'s GDP Slows; Fibria Celulose Gains on Weaker Real
2013-06-21 10:39:00,Oi SA Falls 5% on Executive Departures
2013-06-24 04:49:00,Emerging Markets Evening Roundup: Mexican Consumer Prices Fall; Brazil\'s Meets With Protestors
2013-07-10 05:17:00,Emerging Markets Evening Roundup: Brazil Central Bank Meets; Homex Surges 7%
2013-07-12 02:46:00,"The Message Is Not Important, Yields Are"
2013-07-15 05:00:00,Emerging Markets Evening Roundup: NQ Mobile Boosts Revenue Guidance; Peru\'s Growth Slows
2013-07-16 04:45:00,SBA Communication to Explore Brazil
2013-07-17 07:33:00,"The Zacks Analyst Blog Highlights: CSX, Union Pacific, Kansas City Southern, SBA Communication and Oi"
2015-04-01 01:22:00,"Oi Cutting 1,000 Jobs, Boosts Holders Rights in Turnaround"
2015-04-01 03:41:00,"Oi SA (OIBR) Stock Rises Today on Job Cuts, Shareholder Rights Increase"
2015-04-17 08:28:00,Will Oi SA (OIBR) Continue to Surge Higher? - Tale of the Tape
2015-05-07 07:22:00,Brazil\'s Oi posts bigger-than-expected net loss
2015-05-11 07:40:00,"Lights out, aircon off for workers at Brazil\'s Oi as it slashes costs"
2015-05-12 09:12:00,"Oi Hires Credit Suisse to Sell Call Centers Employing 19,000"
2015-05-13 12:30:00,One Factor Bringing Oi SA (OIBR) Stock Up
2015-06-02 08:57:00,Brazil Oi closes Portugal deal with France\'s Altice
2015-07-10 09:43:00,Oi S.A. (OIBR) Looks Good: Stock Moves 5.6% Higher - Tale of the Tape
2015-07-15 01:11:00,"Fitch Downgrades Oi Debt, Cites Cash Burn & Brazil Weakness"
2015-09-15 06:48:00,Brazil\'s TIM sees rivals with \'unsustainable\' strategies
2015-09-21 10:18:00,Oi Bonds Sink After Rothschild Hired for Optimization of Funds
2015-10-26 05:58:00,Brazil\'s Oi receives proposal from LetterOne for tie-up with rival
2015-10-26 06:22:00,"Fridman Offers $4 Billion to Merge Brazil Carriers Oi, Tim"
2015-10-26 07:01:00,"`Very Cheap\' Brazilian Real Is Opportunity, Telecom Italia Says"
2015-10-26 07:01:00,Oi Getting `Dirt Cheap\' Prompts Fridman to Rekindle Tim Deal
2015-10-26 07:16:00,Brazil\'s Oi gets proposal from LetterOne for tie-up with rival
2015-10-26 10:55:00,Brazil\'s Oi gets proposal for TIM tie-up from LetterOne
2015-10-26 12:22:00,Telecom Italia Said to Snub Fridman\'s $4 Billion Oi Offer
2015-10-27 01:37:00,"Brazil telecom rules overburden sector players, Oi CEO says"
2015-10-27 04:03:00,"Telecom Italia, Oi want new Brazil telecom rules before any merger"
2015-10-27 08:58:00,Brazil minister says telecommunications consolidation is natural
2015-10-30 07:29:00,Brazil Oi says in exclusive talks with LetterOne for merger with TIM
2015-10-30 08:16:00,"Oi, Fridman\'s LetterOne Agree to Exclusive Talks for 7 Months"
2015-10-30 08:56:00,Brazil Oi in exclusive talks with LetterOne for merger with TIM
2015-11-03 01:31:00,"With or Without Tim, Fridman Sees Brazil Telecom M&A Overdue"
2015-11-12 05:28:00,Brazil\'s Oi EBITDA beats third-quarter estimates
2015-11-12 06:27:00,Brazil\'s Oi posts worst-than-expected unaudited loss
2015-11-12 08:00:00,"Billionaire Niel Backs Telecom Italia\'s Strategy, Patuano Says"
2015-11-12 08:50:00,"Brazil Stocks Decline After Earnings Disappointment at Oi, Copel"
2015-11-12 08:50:00,"Brazil Stocks Fluctuate as Investors Weigh JBS, Copel Earnings"
2015-11-12 09:00:00,A Russian Billionaire Is No Savior in Brazil as Oi Bonds Falter
2015-11-12 10:09:00,"Proposal to upgrade Brazil phone rules ready in Jan, Oi CEO says"
2015-11-29 01:43:00,Oi SA (ADR) (OIBR): What Can Hedge Fund Sentiment Tell Us About This Stock?
2015-12-02 11:39:00,"Brazil\'s Oi bets on small, medium company market"
2015-12-03 03:22:00,Oi Bonds Gain on Speculation Capital Injection Will Go Through
2015-12-03 04:57:00,Cerberus eyes BTG Pactual assets as bank sells units
2015-12-03 12:01:00,"Cerberus eyeing BTG Pactual\'s Recovery stake, Oi merger, source says"
2015-12-15 07:51:00,Brazil\'s Oi says BTG Pactual still working on possible merger
2015-12-30 07:40:00,Can The Uptrend Continue for Oi SA (OIBR)?
2016-01-07 06:46:00,"Exclusive: Telecom Italia, Oi in talks as Brazil may ease rules - sources"
2016-01-12 09:00:00,Cash Burn at Petrobras to Oi Looms as $7.9 Billion Bond Tab Due
2016-01-19 12:07:00,Oi Said Close to $1 Billion Credit Line for Potential Tim Deal
2016-03-02 04:26:00,Brazil\'s Oi hires PJT Partners to renegotiate debt -sources
2016-03-09 07:44:00,Brazil\'s Oi hires PJT Partners to advise on strategic options
2016-03-16 07:29:00,"Brazil\'s Oi weighs share issuance, denies \'golden parachutes\'"
2016-03-24 11:28:00,"Brazil\'s Oi reports quarterly loss, scraps forecasts"
2016-03-30 09:00:00,You Could Brew 36 Billion Bottles of Beer With These Writedowns
2016-04-01 01:40:00,Aurelius Tries to Block Oi\'s Borrowing From Dutch Unit
2016-04-16 04:46:00,Oi Said to Claim Aurelius Can\'t Stop It From Borrowing From Unit
2016-04-25 01:44:00,Why Are These 5 Stocks Making Moves Today?
2016-04-25 03:03:00,"Exclusive: Brazil\'s Oi to start bond talks this week, sources say"
2016-04-25 08:04:00,Brazil\'s Oi says in talks to restructure bonds
2016-04-25 08:26:00,Oi Moves Toward Talks With Bondholders Amid Restructuring
2016-04-25 11:40:00,Brazil\'s Oi starts $14.3 billion bond restructuring talks
2016-05-10 02:27:00,"Brazil\'s Oi laying off 2,000 workers in latest cost-cutting - source"
2016-05-12 07:20:00,Oi Reports Wider Loss as Mobile Customers Flee for Rivals
2016-05-12 10:01:00,"Brazil\'s Oi sees deals on fees, fixed concessions this year"
2016-05-13 06:25:00,Brazil\'s Oi working to meet deadline to file 20-F to U.S. SEC
2016-05-16 07:30:00,Brazil telecom Oi says holding bond talks in New York this week
2016-05-17 11:28:00,Oi Bondholders Said to Mull $2.9 Billion Debt-to-Equity Swap
2016-06-10 06:05:00,Brazil telecom group Oi says CEO Gontijo resigns
2016-06-10 06:36:00,Oi CEO Gontijo Resigns Amid Carriers Restructuring Talks
2016-06-13 09:00:00,"After CEO Splits, Bond Traders Brace for a Big Default in Brazil"
2016-06-13 09:43:00,Oi CEO Departure Seen as Management Suicide Amid Debt Talks
2016-06-15 07:27:00,Brazil\'s Oi unaware of any takeover intentions by tycoon Sawiris -filing
2016-06-17 10:25:00,Oi Slumps as Talks Stall on $14.5 Billion Debt Restructuring
2016-06-20 05:25:00,"Brazil\'s Oi, units file for bankruptcy protection"
2016-06-20 05:28:00,Oi Files for Brazil Record $19 Billion Bankruptcy Protection
2016-06-20 05:28:00,Oi Seeks to Protect $15 Billion Debt in Brazil Bankruptcy Record
2016-06-20 08:08:00,"Brazil\'s Oi, BNDES sign debt standstill agreement -newspaper"
