DateTime,Status,Company,Recommendation,Target
2008-01-09,Downgrade,Citigroup,Hold → Sell ,
2008-04-03,Reiterated,Lehman Brothers,Equal-weight,$79 → $85
2008-05-09,Reiterated,Lehman Brothers,Equal-Weight,$93 → $59
2008-05-14,Reiterated,Lehman Brothers,Equal-Weight,$59 → $62
2008-05-20,Reiterated,Credit Suisse,Outperform,$82.50 → $107
2008-06-27,Upgrade,JP Morgan,Neutral → Overweight,$69 → $85
2008-07-08,Reiterated,Lehman Brothers,Equal-Weight,$62 → $65
2008-07-29,Initiated,HSBC Securities,Overweight,
2008-10-07,Reiterated,Credit Suisse,Outperform,$107 → $76
2008-12-04,Initiated,Standpoint,Buy,
2009-03-17,Reiterated,Credit Suisse,Neutral,$28 → $26
2009-03-27,Downgrade,Deutsche Securities,Buy → Hold,$35
2009-04-07,Reiterated,Barclays Capital,Equal Weight,$45 → $48
2009-05-18,Reiterated,Barclays Capital,Equal Weight,$48 → $51
2009-05-21,Downgrade,Standpoint Research,Buy → Hold,
2009-05-28,Initiated,Collins Stewart,Hold,
2009-06-17,Reiterated,Credit Suisse,Neutral,$35 → $38
2009-07-10,Upgrade,UBS,Neutral → Buy,$32.75 → $45
2009-09-01,Upgrade,Credit Suisse,Neutral → Outperform,
2009-10-15,Initiated,Bernstein,Outperform,$56
2009-11-04,Reiterated,Credit Suisse,Outperform,$52 → $58
2010-01-11,Upgrade,Citigroup,Hold → Buy,
2010-04-12,Downgrade,Bernstein,Outperform → Mkt Perform,
2010-04-15,Reiterated,Credit Suisse,Outperform,$58 → $65
2010-07-08,Reiterated,Barclays Capital,Equal Weight,$44 → $40
2010-08-10,Initiated,Howard Weil,Market Perform,$44
2010-10-06,Downgrade,Barclays Capital,Overweight → Equal Weight,$39 → $34
2010-12-16,Reiterated,Barclays Capital,Equal Weight,$35 → $33
2011-01-10,Reiterated,Barclays Capital,Equal Weight,$33 → $37
2011-04-07,Reiterated,Barclays Capital,Equal Weight,$41 → $49
2011-08-18,Reiterated,Barclays Capital,Overweight,$53 → $43
2013-01-09,Reiterated,Barclays,Equal Weight,$31 → $20
2014-07-25,Upgrade,Barclays,Equal Weight → Overweight,$20 → $22
2015-04-14,Upgrade,BofA/Merrill,Neutral → Buy,
2015-04-27,Downgrade,Morgan Stanley,Equal-Weight → Underweight,
2015-05-18,Downgrade,Goldman,Neutral → Sell,
2015-06-03,Upgrade,Tudor Pickering,Accumulate → Buy,
2015-06-15,Upgrade,JP Morgan,Neutral → Overweight,
2015-08-11,Reiterated,Barclays,Overweight,$13 → $11
2015-09-11,Downgrade,JP Morgan,Overweight → Neutral,
2015-09-11,Downgrade,BofA/Merrill,Buy → Neutral,
2015-09-30,Initiated,Macquarie,Underperform,
2015-10-12,Downgrade,Barclays,Overweight → Equal Weight,$11 → $6.50
2015-12-15,Initiated,Credit Agricole,Underperform,
2016-01-12,Initiated,Credit Suisse,Underperform,$2
2016-03-22,Upgrade,Morgan Stanley,Underweight → Equal-Weight,
2016-05-19,Downgrade,Raymond James,Mkt Perform → Underperform,
2016-05-24,Upgrade,JP Morgan,Underweight → Neutral,
2016-07-07,Upgrade,Morgan Stanley,Equal-Weight → Overweight,
2016-08-26,Upgrade,Credit Suisse,Underperform → Neutral,
2016-09-08,Upgrade,HSBC Securities,Hold → Buy,
2016-09-13,Downgrade,Tudor Pickering,Buy → Hold,
2016-09-15,Upgrade,Macquarie,Underperform → Neutral,
2016-09-21,Upgrade,Raymond James,Underperform → Mkt Perform,
2017-10-18,Downgrade,Societe Generale,Buy → Hold,
2018-05-09,Upgrade,Societe Generale,Hold → Buy,
2018-06-08,Downgrade,UBS,Buy → Neutral,
2018-07-11,Upgrade,Barclays,Underweight → Overweight,$14
2019-07-08,Resumed,Citigroup,Buy,
2019-07-11,Initiated,Goldman,Buy,
,Upgrade,HSBC Securities,Neutral → Overweight,
,Upgrade,Standpoint Research,Hold → Buy,$55
,Reiterated,Barclays Capital,Equal Weight,$37 → $40
,Downgrade,Barclays Capital,Overweight → Equal Weight,$38 → $33
,Downgrade,JP Morgan,Neutral → Underweight,
,Upgrade,UBS,Neutral → Buy,
,Upgrade,Goldman,Sell → Neutral,
,Downgrade,Citigroup,Buy → Hold,
