DateTime,Status,Company,Recommendation,Target
2007-05-16,Downgrade,Brean Murray,Buy → Hold,
2007-08-16,Upgrade,Brean Murray,Hold → Buy,$54
2007-11-26,Reiterated,Brean Murray,Buy,$54 → $93
2008-08-13,Upgrade,Brean Murray,Hold → Buy,$77
2009-07-29,Initiated,Standpoint Research,Buy,$48
2009-08-10,Reiterated,Brean Murray,Buy,$55 → $63
2010-06-29,Downgrade,Standpoint Research,Buy → Hold,
2011-03-15,Upgrade,Standpoint Research,Hold → Accumulate,$65
2011-08-08,Upgrade,Standpoint Research,Hold → Buy,$60
2011-09-22,Upgrade,Standpoint Research,Hold → Buy,
2017-04-20,Downgrade,Citigroup,Neutral → Sell,
2017-08-08,Downgrade,HSBC Securities,Buy → Hold,
,Downgrade,Citigroup,Buy → Neutral,
