DateTime,News
2007-03-09 10:59:00,5 More Undiscovered Growth Stocks
2007-09-26 03:17:00,[$$] Slim tells rival to come clean on Brazil plans
2007-10-17 02:38:00,Remaining Bullish on Vivo Shares
2007-10-17 08:42:00,Latin American Markets: Brazil up ahead of rate decision; Mexico hits record high
2007-10-31 04:46:00,Telemig Celular Keeps Its Buy Rec
2007-11-07 07:07:00,Q3 2007 TIM Participaes S.A. Earnings Release - Before Market Open
2007-11-07 08:47:00,Tim Participacoes S.A. Announces its Consolidated Results for 3Q07
2007-11-07 12:21:00,Vivo Participaes Alive & Well
2007-11-12 05:04:00,Downgrading TIM Participaes to Sell
2007-12-18 09:34:00,"Latin American Markets: Brazil, Mexico higher; Chile slips despite S&P upgrade"
2008-01-09 10:06:00,Sell TIM Participaes
2008-01-24 10:14:00,Latin American Markets: Brazil leaps as investors assess global economic developments
2008-01-31 01:56:00,Pick Up Vivo for Brazil Telecom
2008-01-31 09:02:00,Latin American Markets: Brazil drops on rate worries; Mexico extends gains
2008-03-05 07:07:00,Q4 2007 TIM Participaes S.A. Earnings Release - Before Market Open
2008-03-05 09:41:00,TIM Participacoes S.A. Announces its Consolidated Results for the Fourth Quarter and Full Year of 2007
2008-03-07 07:56:00,[$$] Telecom Italia\'s Shares Plunge As Debt-Reduction Plan Disappoints
2008-04-11 07:09:00,"Stock Upgrades, Downgrades From TheStreet.com Ratings"
2008-04-25 03:37:00,ADRs in Focus: Latin American telecommunication ADRs slip
2008-04-28 03:17:00,"ADRs in Focus: Telebras down on deal, Ternium off on threat"
2008-05-06 07:07:00,Q1 2008 TIM Participaes S.A. Earnings Release - Before Market Open
2008-05-08 04:20:00,Bullish on Telemig Acquisition
2008-05-09 01:54:00,Downing TIM Participaes to Sell
2008-05-17 07:34:00,[$$] Research Reports
2008-05-22 03:23:00,ADRs in Focus: Latin American telecoms climb
2008-06-03 03:36:00,Latin American Markets: Benchmark indexes drop; Brazilian mobile stocks fall
2008-06-03 04:28:00,ADRs in Focus: Latin American ADRs decline
2008-06-13 04:17:00,ADRs in Focus: Brasil Telecom falls on downgrade
2008-06-26 02:26:00,ADRs in Focus: Brazil index dips on inflation woes
2008-07-07 02:25:00,"Latin American Markets: Brazilian, Mexican equities lose ground as Wall Street drops"
2008-07-07 03:44:00,"Latin American Markets: Brazilian, Mexican equities lose steam as Wall Street drops"
2008-07-07 05:57:00,"Latin American Markets: Brazilian, Mexican equities end mixed as Wall Street drops"
2008-07-29 10:13:00,TIM Brazilian Wireless a Sell
2008-08-07 07:07:00,Q2 2008 TIM Participaes S.A. Earnings Release - Before Market Open
2008-08-07 10:27:00,"TIM Brasil posts 2nd-qtr loss, cuts 2008 estimates"
2008-09-12 07:59:00,"Latin American Markets: Mexican, Brazilian equities end higher; mixed for the week"
2008-11-05 07:07:00,Q3 2008 TIM Participaes S.A. Earnings Release - Before Market Open
2008-11-05 07:21:00,Brazil\'s TIM swings to profit in third quarter
2008-11-05 08:51:00,UPDATE - Brazil\'s TIM swings to profit on subscriber growth
2008-11-07 12:03:00,Today\'s 5-Star Movers
2008-11-11 02:22:00,TIM Participaes Upped to Hold
2008-11-12 02:39:00,TIM Participacoes Announces Filing of its Annual Report on Form 20-F and Compliance with SOX 404
2008-11-17 02:48:00,Telemig Celular Undervalued
2008-11-26 02:46:00,Latin American Markets: Tim Participacoes leads Brazil higher; Argentina shares rise
2008-11-26 10:02:00,Latin American Markets: Telecoms help lead Brazil higher; Argentina shares rise
2008-11-27 01:15:00,"T.Italia to assess Brazil, fixed-line options- sources"
2008-12-15 01:24:00,Latin American Markets: Brazilian benchmark in the red; Argentina up
2008-12-15 07:20:00,Latin American Markets: Brazil down; Argentina higher; Ecuador to default again
2008-12-17 08:57:00,Latin American Markets: Brazil slips; Mexico extends Fed-fueled rally
2009-01-15 02:04:00,5 Stocks Ready for Liftoff
2009-03-03 04:53:00,TSU Earnings Grow On Client-Base Growth
2009-03-06 04:09:00,Tim Participacoes Upped to Buy
2009-03-09 01:00:00,Tim Participacoes (TSU)
2009-03-23 10:47:00,Brazilian Market Overreacts on Vivo
2009-03-24 05:59:00,Latin American Markets: Stocks down after previous session\'s rallies
2009-04-08 02:53:00,5-Star Stocks on the Upswing
2009-04-14 04:59:00,Latin American Markets: Mexico dodges losses as America Movil downgraded; Brazil down
2009-04-29 10:02:00,Brazilian Central Bank to Cut Rates
2009-04-30 10:30:00,Brazil Lowers Interest Rate
2009-05-05 07:07:00,Q1 2009 TIM Participaes S.A. Earnings Release - After Market Close
2009-06-04 03:41:00,"Latin American Markets: Sao Paulo higher, telecom and energy lead the way"
2009-06-09 01:36:00,UPDATE - T.Italia says won\'t leave Brazil over regs dispute
2009-06-09 08:35:00,T.Italia says won\'t leave Brazil over regs dispute
2009-07-02 09:04:00,TIM PARTICIPACOES SA Financials
2009-07-06 01:56:00,Telecom Italia to spend $4.2 bln in Brazil -report
2009-07-24 06:36:00,TIM Participacoes upgraded by JP Morgan
2009-08-03 07:07:00,Q2 2009 TIM Participaes S.A. Earnings Release - After Market Close
2009-08-03 09:44:00,Brazil\'s TIM posts Q2 net loss of 15.2 mln reais
2009-08-04 01:15:00,UPDATE - TIM Brasil shares rise on margin prospects
2009-08-04 09:49:00,Brazil\'s TIM says higher EBITDA margins possible
2009-08-04 10:39:00,REFILE-Brazil\'s TIM says higher EBITDA margins possible
2009-08-07 11:54:00,TIM\'s Uncertain Outlook
2009-08-11 03:41:00,"Wireless Industry Could Easily Raise Cap Ex to 18% to 20% For Speed and Network Technology, Industry Analyst Says"
2009-09-08 07:48:00,Coverage initiated on TIM Participacoes by Barclays Capital
2009-09-09 10:28:00,[$$] Vivendi Bids for Brazilian Telecom Operator GVT
2009-09-23 02:06:00,"Latin American Markets: Brazil, Mexico stocks down as market awaits Fed"
2009-09-25 03:21:00,2 Stocks Hitting High Notes
2009-10-02 01:11:00,"Rio to Host 2016 Summer Games, Brazilian Stocks Jump"
2009-10-07 01:22:00,Halftime Report: Take Profits Or Buy The Dip?
2009-10-07 05:52:00,Emerging Boom
2009-10-30 07:07:00,Q3 2009 TIM Participaes S.A. Earnings Release - Before Market Open
2009-10-30 11:37:00,TIM Participacoes S.A. Announces Its Consolidated Results for the Third Quarter 2009
2009-11-03 02:28:00,"Stifel Nicolaus Expert Analyst Sees Low Growth In US Wireless Businesses, Current Picks Are In Latin America And Other International Markets"
2009-11-05 06:34:00,Latin American Markets: Telecoms lift Brazil stocks; capital flows debated
2009-11-10 04:44:00,"Latin American Markets: Brazil, Mexico stocks edge higher; Gol gets lift"
2009-12-18 02:38:00,4-Star Stocks on the Upswing
2010-01-07 08:57:00,"Latin American Markets: Cosan, cable firm drag down Brazil stock index"
