DateTime,News
2007-06-08 10:51:00,6 Foreign Values With Star Power
2007-06-15 11:32:00,5 Dynamic Dividend Stocks
2007-09-17 05:45:00,Global Markets Scorecard
2007-09-27 03:24:00,ADRs in Focus: Latin American ADRs Rise
2007-09-28 04:45:00,GM Up As UAW Deal Revealed
2007-09-28 09:46:00,Ultrapar Participacoes S.A. Clarifies Article Published in Sao Paulo Newspaper
2007-10-01 03:50:00,ADRs in Focus: Latin America
2007-10-01 08:32:00,Ultrapar\'s Response to NOTICE/CVM/SRE/GER-1/No 1703/2007 (\'CVM Notice 1703\')
2007-11-07 05:31:00,Ultrapar Participacoes S.A. Reports its Results for the Third Quarter of 2007
2007-11-07 07:07:00,Q3 2007 Ultrapar Participaes S/A Earnings Release - Time Not Supplied
2007-11-30 01:10:00,Stocks Everyone Says to Buy Now
2007-12-17 07:59:00,Ultrapar\'s Registration Statement on Form F-4 Declared Effective
2008-01-08 08:19:00,"Brazil: Seven Chemical, Energy and Mining Stocks"
2008-01-18 03:36:00,Forget China
2008-03-13 04:20:00,Profit From the Next Economic Superpower
2008-05-12 04:24:00,ADRs in Focus: Brazilian ADRs up on stimulus plan
2008-05-14 06:42:00,Ultrapar Participacoes S.A. Announces First Quarter 2008 Results
2008-05-15 04:19:00,ADRs in Focus: Latin American ADRs climb
2008-05-22 09:00:00,Ultrapar Receives the Investment Grade Rating from Moody\'s
2008-06-09 09:14:00,Ultrapar Announces Acquisition of Uniao Terminais
2008-06-26 02:26:00,ADRs in Focus: Brazil index dips on inflation woes
2008-06-30 04:06:00,Brazil\'s Risk Factors: Crime and Corruption
2008-06-30 06:11:00,Ultrapar Participacoes S.A. Announces Filing of Form 20-F
2008-07-08 09:04:00,ULTRAPAR HOLDINGS INC Financials
2008-07-09 02:59:00,[$$] Ultrapar Looks Up to Par
2008-08-06 07:07:00,Q2 2008 Ultrapar Participaes S/A Earnings Release - After Market Close
2008-08-06 09:26:00,Ultrapar Releases Results of Second Quarter
2008-08-08 09:30:00,Ultrapar an Investment-Grade Hold
2008-08-13 07:01:00,Latin American Markets: Commodity stocks lift Brazil; Mexico moves out of the red
2008-08-14 09:28:00,Chevron to sell business to Ultrapar for $730M
2008-08-14 10:14:00,Ultra Enters Agreement to Acquire Texaco-Branded Fuels Marketing Business in Brazil
2008-08-15 03:12:00,3 Stocks Hitting High Notes
2008-10-27 09:15:00,Latin American Markets: Brazil dragged 6% by lower commodity prices; Argentina falls
2008-11-05 06:13:00,Ultrapar Participacoes Announces Results for 3Q08
2008-11-05 06:36:00,InPlay: Ultrapar Participacoes announces results for 3Q08
2008-11-05 07:07:00,Q3 2008 Ultrapar Participaes S/A Earnings Release - After Market Close
2008-11-10 10:00:00,Ultrapar SA Ultra-Attractive
2008-11-20 10:16:00,"Steep opening fall on claims report, global rout, safe-haven flows"
2008-11-20 10:21:00,"Small-cap stocks continues low; UGP, GOLD, and GYMB lead gainers"
2009-01-05 09:17:00,Latin American Markets: Brazil bounces 3% higher; Mexican shares eases
2009-01-06 09:55:00,Brazilian Volatility Lowering
2009-01-28 02:27:00,Ultrapar a Brazil Petrochem Play
2009-03-10 10:54:00,Emerging Markets Will Outperform
2009-03-11 02:30:00,Midas Could Be a Golden Pick
2009-03-11 07:07:00,Q4 2008 Ultrapar Participaes S/A Earnings Release - After Market Close
2009-03-11 11:02:00,Ultrapar Participacoes S.A. Reports Its Results for the Fourth Quarter and the Year 2008
2009-03-13 02:43:00,Ultrapar Solid in Liquids
2009-03-31 04:53:00,TSC Ratings\' Updates: Cerner
2009-04-23 11:38:00,Brazil Expected to Outperform
2009-04-29 10:02:00,Brazilian Central Bank to Cut Rates
2009-04-30 10:30:00,Brazil Lowers Interest Rate
2009-05-13 06:09:00,Ultrapar Participacoes S.A. Announces its Results for the First Quarter 2009
2009-05-13 07:07:00,Q1 2009 Ultrapar Participaes S/A Earnings Release - After Market Close
2009-06-09 09:31:00,Brazil GDP Better than Expected
2009-06-26 05:11:00,Petrobras & Vale Strike a Deal
2009-06-29 06:12:00,Ultrapar Informs that its 2008 Form 20-F Annual Report was Filed Today with the U.S. SEC
2009-07-08 03:25:00,[$$] Tractor Supply Raises Profit Target
2009-08-10 11:42:00,[$$] Barnes & Noble Gets Schooled
2009-08-12 06:39:00,Ultrapar Announces Its 2Q09 Results
2009-08-12 07:07:00,Q2 2009 Ultrapar Participaes S/A Earnings Release - After Market Close
2009-08-25 01:23:00,Ultrapar Run Overdone
2009-10-03 12:14:00,Brazil: Do Olympics Make It a Better Investment?
2009-10-07 01:27:00,The Best Stock in Brazil
2009-10-23 03:17:00,Ultrapar is Assigned Investment Grade Rating by Standard & Poor\'s
2009-11-11 05:08:00,Ultrapar Announces Its 3Q09 Results
