DateTime,News
2009-07-22 04:08:00,Countersuit filed over \'Brutal Legend\' video game
2009-07-29 07:00:00,2Q09 Results: VIVO Participacoes S.A.
2009-07-29 07:53:00,UPDATE - Brazil\'s Vivo posts Q2 profit as costs tumble
2009-07-29 09:23:00,Vivo says higher dividend might be discussed-CEO
2009-07-30 10:12:00,Vivo: Strong Q2 Results Will Have Short Term Impact on Stock
2009-08-05 04:36:00,Activision 2Q profit edges past expectations
2009-08-10 08:21:00,Judge to Name Business Guardian for Jackson Kids
2009-08-18 03:11:00,Universal Music Group cuts deal with BigChampagne
2009-08-27 12:52:00,"Latin American Markets: Latin American stocks fall, tracking Wall Street"
2009-08-31 02:47:00,2 Stocks Hitting High Notes
2009-09-01 06:50:00,Vivendi net profit slips 3 percent in first half
2009-09-09 06:40:00,Vivendi to buy Brazilian telecoms operator GVT
2009-09-09 10:28:00,[$$] Vivendi Bids for Brazilian Telecom Operator GVT
2009-09-10 04:52:00,Latin American Markets: Brazil index at 2009 high with fifth straight win
2009-09-14 06:17:00,Court rules against Universal Music in Veoh case
2009-09-16 09:12:00,Film/TV & Recording Artist Katharine McPhee Signs to Legendary Verve Records
2009-09-30 03:33:00,Industry Moves: Fox Hires Former Vivendi Exec Emerson As VP Of Game Production
2009-09-30 07:59:00,"Manifest Destiny: Comcast in Talks With NBCU? Comcast Says Deal To Purchase Report ""Inaccurate"""
2009-10-02 05:34:00,Trading The Globe: Brazil
2009-10-02 09:54:00,Reasons to Love a Comcast-NBC Universal Deal
2009-10-02 10:15:00,GE\'s Immelt: NBCU-Comcast Discussions Are About Partnerships Or IPO
2009-10-05 07:31:00,Universal replaces top movie studio executives
2009-10-06 05:23:00,US jury hears Vivendi class action case
2009-10-07 01:22:00,Halftime Report: Take Profits Or Buy The Dip?
2009-10-07 05:01:00,Telefonica offers cash for Brazil\'s GVT
2009-10-07 05:52:00,Emerging Boom
2009-10-07 12:01:00,Emerging Markets Report: Rio Olympics light torch of investment plays
